date,index,period,trading_day_id,open,high,low,close,adj_close,volume,daily_return,log_return,rolling_vol_30d,max_to_date,drawdown,nasdaq_sp500_ratio,event_flag,event_name
1997-01-02,NASDAQ,dotcom,1,1292.6500244140625,1293.6300048828125,1272.3399658203125,1280.699951171875,1280.699951171875,492350000,NA,NA,NA,1280.699951171875,0,1.7376968212129815,FALSE,NA
1997-01-03,NASDAQ,dotcom,2,1288.02001953125,1310.8399658203125,1280.699951171875,1310.6800537109375,1310.6800537109375,519140000,0.023409154120471287,0.02313936216072321,NA,1310.6800537109375,0,1.752175718056314,FALSE,NA
1997-01-06,NASDAQ,dotcom,3,1314.3399658203125,1321.469970703125,1310.6300048828125,1316.4000244140625,1316.4000244140625,588140000,0.004364124323804175,0.004354629148640932,NA,1316.4000244140625,0,1.7607168881532942,FALSE,NA
1997-01-07,NASDAQ,dotcom,4,1316.9100341796875,1327.8199462890625,1312.0799560546875,1327.72998046875,1327.72998046875,577740000,0.008606772899241166,0.008569945786901734,NA,1327.72998046875,0,1.7627152594782236,FALSE,NA
1997-01-08,NASDAQ,dotcom,5,1329.5999755859375,1330.77001953125,1319.93994140625,1320.3499755859375,1320.3499755859375,666490000,-0.005558362763042335,-0.005573867943650335,NA,1327.72998046875,-0.005558362763042335,1.7642068157354105,FALSE,NA
1997-01-09,NASDAQ,dotcom,6,1325.22998046875,1327.239990234375,1320.3299560546875,1326.199951171875,1326.199951171875,621950000,0.004430624981335951,0.004420838658178106,NA,1327.72998046875,-0.0011523648026195987,1.7569053375704733,FALSE,NA
1997-01-10,NASDAQ,dotcom,7,1317.3800048828125,1332.02001953125,1311.780029296875,1332.02001953125,1332.02001953125,659530000,0.00438853006609774,0.004378928548809391,NA,1332.02001953125,0,1.753811743951613,FALSE,NA
1997-01-13,NASDAQ,dotcom,8,1335.449951171875,1337.77001953125,1328.7099609375,1330.9100341796875,1330.9100341796875,612090000,-8.333098116296567e-4,-8.336572072566995e-4,NA,1332.02001953125,-8.333098116296567e-4,1.7523271807706513,FALSE,NA
1997-01-14,NASDAQ,dotcom,9,1337.3800048828125,1349.010009765625,1330.9100341796875,1346.3599853515625,1346.3599853515625,629070000,0.011608561642107995,0.011541699243761805,NA,1346.3599853515625,0,1.7511120503116535,FALSE,NA
1997-01-15,NASDAQ,dotcom,10,1347.699951171875,1347.8399658203125,1333.4100341796875,1333.530029296875,1333.530029296875,681170000,-0.009529365247242794,-0.00957506017573273,NA,1346.3599853515625,-0.009529365247242794,1.7381777998942705,FALSE,NA
1997-01-16,NASDAQ,dotcom,11,1340.1400146484375,1347.3900146484375,1333.530029296875,1340.4599609375,1340.4599609375,712970000,0.005196682105673256,0.005183225951324921,NA,1346.3599853515625,-0.0043822042234282765,1.741422489038649,FALSE,NA
1997-01-17,NASDAQ,dotcom,12,1340.6099853515625,1350.530029296875,1339.800048828125,1349.050048828125,1349.050048828125,673120000,0.006408313669150623,0.00638786772994937,NA,1349.050048828125,0,1.738085829820452,FALSE,NA
1997-01-20,NASDAQ,dotcom,13,1351.1400146484375,1365.6199951171875,1349.050048828125,1364.280029296875,1364.280029296875,592380000,0.011289411005899863,0.011226161195701856,NA,1364.280029296875,0,1.756508314478078,FALSE,NA
